studytime,failures,absences,G1,G2,attendance_pct,study_hours,engagement_score,final_score,pass,grade
3,3,10,12,10,76.46679296881632,9,27.55834912110204,52.661863616308935,0,C
2,2,4,17,11,91.860454920172,8,20.4825568650215,70.08767577057142,1,B
4,3,0,7,9,100.0,16,27.5,54.24659542319348,0,C
1,1,19,6,14,65.08056607077239,5,13.135070758846549,61.02483397888426,0,C
4,0,29,12,17,53.616628880924594,8,27.702078610115574,65.10547277767748,1,B
2,1,12,18,12,70.51957412318956,8,20.814946765398695,67.20100053640724,1,B
2,1,7,19,12,84.31129537769388,8,24.538911922211735,79.19313102377872,1,B
2,0,5,9,10,91.84111218450509,4,19.48013902306314,68.05857210867248,1,B
1,1,28,19,11,50.0,3,15.25,46.55626433265486,0,F
2,0,16,13,7,67.1107968354194,10,18.388849604427428,68.32107887560691,1,B
1,3,11,5,17,81.65322367266168,4,17.20665295908271,54.19861983250706,0,C
2,1,0,14,11,100.0,6,27.5,82.66342907536665,1,A
4,0,2,7,11,95.70850776909198,12,25.963563471136496,76.32836525294479,1,B
4,2,13,9,8,76.80786256640812,12,25.600982820801015,59.67855229251616,0,C
3,1,25,6,14,54.20977612775129,6,24.776222015968912,53.742833305673656,0,C
4,3,7,7,18,88.64580066054495,12,32.08072508256812,54.792076876908794,0,C
3,0,10,8,17,80.86759355674243,12,23.108449194592804,77.86581396134429,1,B
4,1,26,8,8,50.0,12,26.25,41.34817444167694,0,F
1,1,13,15,18,78.98516797090888,3,21.87314599636361,71.20029218067425,1,B
4,1,7,13,7,85.19650948815475,12,25.64956368601934,59.0061878095094,0,C
3,3,28,5,14,50.0,15,19.25,48.11039547368926,0,F
3,0,2,16,11,95.64363549121839,12,23.9554544364023,84.57243814729644,1,A
2,2,6,13,9,89.11097814689904,10,22.13887226836238,63.3415286721191,1,C
1,2,27,19,7,50.0,5,15.25,44.30898477957472,0,F
4,2,18,13,10,61.96954873132358,12,22.746193591415448,65.7971243733108,1,B
2,0,3,15,16,93.42847780256156,6,24.678559725320195,91.96053642242657,1,A
4,2,24,10,10,50.0,12,25.25,33.195612401383684,0,F
4,3,15,15,10,75.45472435150138,8,24.431840543937675,63.71569523610799,1,C
2,0,12,5,6,70.41708709359668,8,17.802135886699585,47.81505648390788,0,F
2,1,19,15,17,55.47073710257853,4,19.933842137822317,66.36649009653924,1,B
2,3,18,17,15,62.87826191322489,8,19.85978273915311,55.76848434430778,0,C
2,1,4,16,14,90.43856451688657,6,23.30482056461082,70.39590515913642,1,B
2,2,22,10,16,58.58647470442351,8,19.323309338052937,51.391845935128536,0,C
4,3,4,12,11,93.86285379357547,16,30.732856724196935,68.43879885133857,1,B
2,0,19,9,17,57.68640376350908,10,22.210800470438635,65.93625215056831,1,B
1,3,23,9,11,50.0,4,13.25,33.89953880094871,0,F
3,1,3,5,14,95.01443600927409,12,23.876804501159263,71.08757288469926,1,B
2,0,1,5,16,97.85612605298367,10,24.232015756622957,79.55492155357611,1,B
2,3,25,12,8,50.0,4,21.25,41.5156574849335,0,F
4,3,12,17,15,71.13919538034301,16,25.892399422542876,72.15710856892575,1,B
2,3,29,9,10,50.0,4,19.25,35.497547321687826,0,F
2,3,15,12,8,75.56899285922903,4,21.446124107403627,42.849553082100954,0,F
2,0,21,14,8,63.29514760860537,6,21.91189345107567,64.6815254194692,1,C
4,1,1,6,10,97.92227835898086,16,32.24028479487261,74.90089696522179,1,B
2,3,18,19,13,56.46289138308043,10,15.057861422885054,59.18108506632642,0,C
3,0,16,8,16,66.67942702082391,15,19.33492837760299,63.12479584277314,1,C
4,1,4,17,17,90.32151479665602,12,32.290189349582,91.01891297772944,1,A
3,3,24,15,19,50.0,15,18.25,57.57451797210942,0,C
4,1,17,18,11,64.32737910914724,16,23.040922388643406,71.29539038829992,1,B
2,1,27,14,6,58.9114402498901,4,16.36393003123626,46.68206739503936,0,F
3,0,22,13,18,59.67233310672489,6,24.45904163834061,61.00053554712639,0,C
4,1,20,17,10,68.85080885550187,20,28.606351106937733,63.720239574161084,1,C
1,0,17,7,18,69.02188004534152,5,15.62773500566769,70.76168542908823,1,B
2,3,7,10,9,89.0636655128909,10,24.132958189111363,65.86445455498543,1,B
4,1,26,15,10,56.63678760229838,8,21.079598450287296,61.06422481441149,0,C
1,1,14,11,17,73.25039717260627,4,14.156299646575784,60.13521220758315,0,C
4,2,12,7,12,75.82138305480423,16,24.47767288185053,57.631593384966436,0,C
1,3,12,5,12,79.39429974048574,4,19.924287467560717,49.129938101322736,0,F
2,3,15,6,19,66.51133931113017,8,16.31391741389127,51.430229821368144,0,C
3,2,21,15,7,56.10234294079258,12,18.012792867599074,50.0812218763865,0,C
1,2,19,18,13,58.35654991549772,3,14.294568739437215,51.78452899783157,0,C
4,0,12,14,10,73.20681182687903,20,26.15085147835988,66.38955140527159,1,B
2,0,19,11,11,57.68851356696055,8,22.21106419587007,54.53391477068303,0,C
1,1,1,11,13,97.56376609880314,3,18.195470762350393,67.68464905048654,1,B
4,1,2,16,19,96.52555933217067,16,33.06569491652134,93.15292180041689,1,A
4,1,14,5,18,75.21782105076224,20,26.40222763134528,69.88459724598503,1,B
4,1,22,14,17,64.92757650395268,16,25.115947062994085,64.42442515445069,1,C
1,0,18,11,11,62.333445566240144,4,14.791680695780018,58.7806646097424,0,C
1,3,12,19,14,77.25777390834561,4,20.6572217385432,74.19974417614425,1,B
1,1,4,14,13,92.01520447732895,5,16.50190055966612,75.70287733924327,1,B
3,3,25,15,5,58.25446355714651,6,19.28180794464331,39.159173984365125,0,F
1,1,21,10,17,54.86973473800095,5,18.858716842250118,61.57869618788281,0,C
1,2,5,15,5,89.40490319680274,2,20.175612899600342,72.25026163873933,1,B
1,1,13,10,7,77.05780244988375,3,20.63222530623547,57.35732245375028,0,C
3,1,3,11,17,94.10374992872178,9,25.762968741090223,76.99289407932315,1,B
1,1,21,11,13,50.0,4,16.25,51.2827663397286,0,C
4,0,18,5,5,59.07701738213563,16,24.384627172766955,56.324803968897186,0,C
1,2,22,14,5,62.007234711206706,4,14.750904338900838,45.246347780496635,0,F
4,1,6,9,9,85.72687088500238,20,27.715858860625296,68.54365151523871,1,B
4,1,3,19,12,95.29806107973538,16,32.91225763496692,94.4909147344041,1,A
4,3,1,18,6,98.08607143394458,8,29.260758929243075,68.15596436036756,1,B
3,2,26,18,8,58.9169260840277,9,21.36461576050346,63.388142986753536,1,C
3,1,6,12,19,85.45471483488107,9,23.681839354360136,71.82926222155119,1,B
3,3,2,12,10,96.91859511635991,9,23.11482438954499,66.35651799909093,1,B
1,3,14,7,19,76.88263585448922,2,21.610329481811153,66.19419240748692,1,B
4,0,0,7,5,100.0,16,31.5,85.12115504505039,1,A
3,3,1,11,19,97.91784235509937,6,26.23973029438742,71.14454444329175,1,B
3,1,9,19,8,79.34330822413361,6,21.9179135280167,68.68578641504944,1,B
1,0,15,8,8,77.25389859607307,5,19.656737324509134,70.48040055843356,1,B
3,0,24,10,13,53.941718306672385,15,20.742714788334048,59.07013460233025,0,C
1,1,27,13,13,50.0,3,14.25,49.74265630883409,0,F
2,2,14,14,10,70.88253307557781,4,17.860316634447226,53.672024446978746,0,C
3,3,23,6,12,50.0,9,19.25,31.563064407274226,0,F
2,0,14,6,16,65.51016732344371,4,20.188770915430464,56.294413110032544,0,C
1,2,13,10,14,71.59447338270871,3,14.94930917283859,54.761236603974794,0,C
4,1,21,7,8,61.619760304443204,12,27.702470038055402,42.443602852344995,0,F
3,3,13,5,14,76.48810985447525,12,24.561013731809407,48.877228549639014,0,F
1,3,5,6,12,92.14361296061766,3,16.517951620077206,62.030732760649215,1,C
4,0,13,18,19,74.93896267392071,20,23.36737033424009,93.49600453138603,1,A
4,3,16,17,7,61.353769350049916,8,24.669221168756238,46.11456289483284,0,F
2,3,17,11,6,66.37293874790232,6,23.29661734348779,43.82906629478165,0,F
1,3,19,8,10,54.191096707591164,2,16.773887088448895,34.8880989644069,0,F
4,3,18,16,9,58.2914452018917,12,24.28643065023646,46.045211932566225,0,F
3,1,29,6,12,50.0,15,19.25,36.4283112626194,0,F
3,2,16,15,19,60.83687548972699,12,22.604609436215874,61.56953742415641,0,C
2,1,15,16,5,66.90275096420515,8,16.362843870525644,55.348411650855525,0,C
4,1,7,16,15,83.40147899186817,8,24.425184873983522,90.12230149367788,1,A
1,0,6,12,16,86.51153379020575,3,18.81394172377572,81.31340765678462,1,A
3,3,19,8,14,58.13550422179786,15,21.266938027724734,46.30799037381985,0,F
4,1,27,8,7,50.0,8,27.25,46.085550682268426,0,F
4,3,11,6,11,75.56851957106242,16,25.446064946382805,51.88572168382237,0,C
2,1,8,18,17,84.96464790510761,4,25.62058098813845,78.35275769475557,1,B
3,1,26,5,14,50.0,6,20.25,46.030236220724355,0,F
3,0,13,5,18,76.67707493075042,9,27.584634366343803,69.30804990473936,1,B
1,2,19,7,16,68.68304906224475,5,19.585381132780594,46.987132542675695,0,F
3,2,0,10,8,100.0,12,30.5,65.40811968643261,1,B
1,1,9,11,14,78.40045639654946,4,19.800057049568682,65.80936207948177,1,B
3,0,16,17,9,65.57976469411474,15,22.197470586764343,72.37926973591897,1,B
2,3,16,13,12,75.10111424451023,6,22.38763928056378,55.92470796357307,0,C
3,3,16,9,5,63.02080088696557,15,24.877600110870695,45.49690881638934,0,F
1,1,3,13,5,92.69379541834749,5,21.586724427293436,64.91117506778524,1,C
1,2,16,12,16,62.72924096021167,3,14.841155120026459,62.419694406747624,1,C
2,0,17,5,11,62.1317959593523,6,18.766474494919038,54.595803138879845,0,C
3,2,19,15,19,68.6477124795469,12,26.580964059943362,72.84076096093767,1,B
3,3,22,16,17,59.32200237044306,12,23.41525029630538,60.728813734818274,0,C
2,2,1,7,16,97.93471311165197,6,27.241839138956497,68.0371194291177,1,B
3,3,7,12,13,88.96197454435128,6,27.12024681804391,66.56695744045868,1,B
3,0,12,13,8,80.72475743037057,12,27.09059467879632,68.742256504585,1,B
1,0,22,18,12,50.0,3,18.25,57.796958452004354,0,C
3,1,24,8,14,50.0,9,20.25,52.078280122832616,0,C
3,1,29,18,19,50.0,6,20.25,66.50152475085712,1,B
2,2,21,18,11,61.6254334950117,10,19.70317918687646,55.72170179340105,0,C
2,0,19,18,18,64.19584321867677,6,16.024480402334596,77.42553650167123,1,B
4,0,21,16,6,66.92350285584695,8,23.36543785698087,67.62406421859781,1,B
1,1,14,10,18,68.651522017998,2,13.58144025224975,62.329080214631446,1,C
3,3,19,8,9,68.14015377026709,12,26.517519221283386,53.86215643339794,0,C
3,2,22,17,13,50.0,9,21.25,60.76093407316746,0,C
4,2,8,19,17,81.23302056178453,16,25.154127570223068,77.88513659843672,1,B
3,1,2,13,17,95.72313164514507,15,22.965391455643136,78.8315068206519,1,B
1,0,2,6,13,95.46029011320218,5,18.932536264150272,72.37419839554329,1,B
4,1,1,10,7,98.32816483331396,16,32.291020604164245,75.12255561336018,1,B
1,1,0,15,15,100.0,4,21.5,74.37979371523537,1,B
4,1,13,17,16,71.7016089122003,12,24.962701114025037,67.0647936436103,1,B
4,1,16,7,7,65.41503070633155,12,24.176878838291444,44.5260624098773,0,F
2,3,12,14,6,80.59252146828183,6,18.07406518353523,57.764046136883394,0,C
1,3,18,8,11,66.80111567535931,5,19.350139459419914,51.140645346462364,0,C
3,0,29,6,10,50.0,12,22.25,44.895450558327326,0,F
3,1,22,15,19,54.40440880286802,6,18.800551100358504,58.33486047567064,0,C
1,3,14,12,9,68.28668019585146,4,20.535835024481432,48.06381957210118,0,F
3,0,26,14,11,50.0,6,22.25,59.15652154316619,0,C
3,1,24,12,8,50.0,9,20.25,42.464168163222645,0,F
1,2,13,5,9,79.2134212429129,3,17.90167765536411,43.48141862083037,0,F
4,3,1,14,13,97.62186130913273,16,30.20273266364159,70.25179103937074,1,B
1,0,6,10,19,87.78029758381444,2,17.972537197976806,77.31330341784945,1,B
4,2,16,5,15,75.40002143252524,20,27.425002679065656,62.091996117308184,1,C
3,1,17,10,13,63.56537894861876,9,25.945672368577345,47.67059445597915,0,F
3,1,5,11,8,89.91326406318463,9,22.239158007898077,76.61898691789534,1,B
3,1,26,19,10,55.27039120993731,12,23.908798901242164,64.68217640080114,1,C
2,3,20,6,6,54.711490827772906,8,20.838936353471613,31.808486258355614,0,F
4,0,7,13,7,82.96502224154415,20,26.37062778019302,70.92747904277307,1,B
2,2,27,12,13,50.78754674622534,8,17.348443343278166,44.48490970239247,0,F
2,0,26,13,10,50.0,10,14.25,52.22520761673932,0,C
1,3,1,19,12,98.37182500130157,2,17.296478125162697,69.35857787211361,1,B
2,0,0,14,19,100.0,10,27.5,96.18637045913955,1,A
1,3,15,17,15,72.7180591057115,2,21.08975738821394,66.72868910205662,1,B
1,1,6,8,9,89.83129189780284,3,21.228911487225353,55.584375037418646,0,C
2,2,21,8,6,58.45299778784143,8,19.30662472348018,38.0252268221489,0,F
4,1,23,16,11,64.50450274147283,12,28.063062842684104,66.41751572601875,1,B
4,0,10,12,10,82.47163168773595,20,28.308953960966996,77.49151949486586,1,B
4,1,14,5,15,78.05279168912026,20,28.756598961140032,64.18433685766881,1,C
4,2,12,12,19,80.4715461460696,20,30.0589432682587,74.184730835086,1,B
4,1,29,11,6,53.24743102488983,8,21.65592887811123,45.32058452943456,0,F
2,2,23,16,10,50.0,6,17.25,42.84184700181112,0,F
2,2,1,11,17,97.56956515196538,6,23.196195643995672,70.61621828075329,1,B
3,1,13,13,12,74.3312118448581,15,24.291401480607263,59.18541640985181,0,C
4,3,23,19,17,51.000406979373054,16,23.37505087242163,65.43017649725587,1,B
2,0,5,17,5,89.020490513685,6,22.127561314210624,76.91812849102496,1,B
3,3,8,14,8,84.86949340102352,12,21.60868667512794,52.1336935056907,0,C
4,3,27,11,5,50.0,12,25.25,30.02821197373916,0,F
1,1,6,19,6,86.94658588465798,5,20.868323235582245,64.15200922540251,1,C
3,0,17,6,5,68.09585324083095,15,21.511981655103867,49.43797116247764,0,F
2,0,23,5,10,52.13678105034593,6,16.51709763129324,48.39801145641242,0,F
1,3,8,5,15,83.87845751350834,2,16.484807189188544,66.42758512097109,1,B
1,1,22,11,10,55.46186678017841,2,18.9327333475223,47.52947220793547,0,F
1,0,3,9,5,93.01192341137065,3,18.62649042642133,67.7314469809673,1,B
3,3,8,8,8,82.36754312881042,15,26.295942891101305,52.00149646642049,0,C
2,0,3,9,18,92.61795203788571,6,26.577244004735714,83.46856223892028,1,A
1,1,11,14,18,74.79925710023262,4,17.34990713752908,70.669114749747,1,B
4,1,3,14,18,95.06262245620032,20,30.882827807025038,95.0,1,A
1,1,24,10,8,50.0,2,11.25,45.37363688574655,0,F
1,0,29,16,12,50.0,2,16.25,59.573716597196196,0,C
3,2,23,19,10,50.640988471238984,9,24.330123558904873,57.87604035396649,0,C
3,0,19,14,6,62.36585210235193,12,20.795731512793992,65.26901098972237,1,B
2,2,13,10,9,79.68796904239218,10,24.960996130299023,54.2674920204133,0,C
4,1,23,5,8,50.0,8,23.25,42.955753791855365,0,F
3,3,23,6,14,50.0,9,22.25,43.08956352586495,0,F
1,2,6,7,8,88.07915177552886,3,19.009893971941107,56.48627422563878,0,C
2,1,25,8,16,58.53547580922979,10,19.316934476153722,60.843400368621175,0,C
1,1,12,10,12,72.1063281057309,3,20.01329101321636,59.92067110495161,0,C
1,2,21,16,9,59.4558962864071,3,17.431987035800887,54.06212858339184,0,C
3,3,7,16,7,86.76920253545549,9,25.846150316931936,68.32448152809644,1,B
2,1,22,15,14,52.36159089748057,4,16.54519886218507,52.54155923728956,0,C
4,2,4,17,16,90.96529840586939,8,29.370662300733674,79.36990064578815,1,B
4,3,11,13,19,82.80875189717496,16,27.351093987146868,67.68132411216935,1,B
3,3,12,16,8,72.78932300219785,15,23.09866537527473,53.50653524914425,0,C
3,1,28,6,5,50.0,15,21.25,42.766321994627084,0,F
2,0,19,12,10,60.30501740008118,10,21.538127175010146,52.84173806600076,0,C
4,0,13,13,15,76.10055411334426,20,23.512569264168032,73.78276131077713,1,B
4,1,27,6,17,55.05034202409265,12,24.881292753011582,62.08078590368572,1,C
4,3,17,13,19,72.75489952387431,20,23.09436244048429,60.61017463905803,0,C
1,1,26,11,14,60.96922396331723,4,18.621152995414654,64.78520422067476,1,C
4,2,23,13,8,60.75141595908187,20,25.593926994885233,54.19448000154682,0,C
1,0,24,10,10,54.12791271880065,5,14.76598908985008,52.88288104953206,0,C
2,2,19,6,6,66.8707577033984,6,21.3588447129248,38.33455781356653,0,F
1,1,3,12,9,94.57306283918497,3,23.82163285489812,68.31746495541063,1,B
2,1,20,14,15,62.190951692780196,6,18.773868961597525,64.54277582204614,1,C
4,3,17,19,13,69.25954075608767,16,26.65744259451096,63.707833810170655,1,C
4,3,6,13,12,86.65227376804762,12,25.831534221005953,59.47854509814323,0,C
2,3,14,16,7,72.11582495169043,10,17.014478118961303,55.52071020535061,0,C
3,2,20,12,5,69.61345704495919,12,20.7016821306199,56.82521087886347,0,C
2,3,5,6,14,91.36665884318849,4,22.42083235539856,49.308778020487495,0,F
3,1,15,19,7,66.85512633048205,9,25.356890791310256,75.26761287255053,1,B
1,3,19,12,12,65.78232005755106,4,13.222790007193883,49.35928811980254,0,F
1,0,23,7,15,50.0,2,18.25,55.51352087171018,0,C
1,3,7,7,7,84.51135166786806,3,20.563918958483505,54.05295731481593,0,C
4,2,27,13,9,51.67197165124968,8,27.45899645640621,36.78885730701796,0,F
1,0,20,17,6,59.67180307653112,3,19.45897538456639,51.54220909343651,0,C
3,0,15,13,19,67.49141454729745,12,26.43642681841218,67.47773874666369,1,B
1,0,27,19,5,54.27912163589843,3,17.784890204487304,51.53445004114678,0,C
2,2,21,13,15,63.330063174375894,6,19.916257896796985,60.92822759395351,0,C
2,1,15,8,14,69.89314381206616,8,16.73664297650827,53.37376882609507,0,C
4,3,2,16,19,95.15021055501941,16,25.893776319377427,76.10822755651995,1,B
2,0,16,18,18,70.49583413027815,10,22.81197926628477,78.62992386315618,1,B
3,0,8,11,9,84.78295737519434,15,23.597869671899293,72.13373714833652,1,B
1,0,24,17,9,59.42511494364368,4,17.42813936795546,61.75652112768915,1,C
4,1,2,12,10,95.81358260945377,12,25.97669782618172,70.87984635141235,1,B
1,1,19,19,6,57.43713580223103,2,17.17964197527888,49.68420937655944,0,F
1,2,28,19,13,50.0,4,14.25,52.91576378750331,0,C
3,1,6,17,6,86.4985037220411,6,26.81231296525514,69.74803059214402,1,B
2,3,17,19,6,69.35571970274472,10,17.66946496284309,60.449229056147985,0,C
2,2,11,17,16,75.72317140168649,10,24.465396425210812,66.78275189336489,1,B
1,2,18,9,19,68.34979840293182,4,20.543724800366476,59.20241964808049,0,C
4,3,15,17,9,65.79025687342644,16,23.223782109178305,45.48507353232943,0,F
2,3,21,19,13,51.056526855716605,6,19.382065856964577,56.93411659727349,0,C
4,3,26,19,8,50.0,20,24.25,49.87123124843315,0,F
2,2,23,5,10,60.5441300654356,10,17.56801625817945,46.646317082075676,0,F
4,2,16,19,6,64.89200899369698,16,29.111501124212122,66.1162265633961,1,B
3,2,19,13,18,61.26773263984937,6,19.658466579981173,62.58591739465281,1,C
4,3,14,10,17,65.19548214015333,12,28.149435267519166,56.651973593698386,0,C
3,3,0,7,8,100.0,12,24.5,49.17905861025584,0,F
3,0,1,7,19,97.72874864716096,6,23.21609358089512,82.16686598496591,1,A
4,1,7,18,16,86.90945318059877,12,29.863681647574847,79.89104889234666,1,B
3,0,21,18,13,60.165993042765116,6,21.52074913034564,64.54744869425758,1,C
1,3,24,14,19,61.33618757427766,3,17.667023446784707,46.71413981967825,0,F
3,2,1,5,6,98.2603388141738,9,28.282542351771724,56.88657267128205,0,C
2,3,18,17,5,70.03928284169794,6,19.754910355212242,44.991535342852,0,F
4,1,8,12,8,86.72639551164858,20,28.840799438956072,67.33259451047692,1,B
1,0,8,6,19,87.92786777878516,4,18.990983472348145,70.6281256180763,1,B
4,0,12,16,8,72.47463076632685,20,24.05932884579086,79.69150186115847,1,B
2,2,5,5,5,90.16034391030159,10,19.2700429887877,46.32191125935661,0,F
2,0,29,11,8,50.0,6,17.25,48.686235389851035,0,F
2,0,14,18,19,70.42429427121674,8,18.803036783902094,81.15184716423335,1,A
3,3,18,15,7,58.035922075350825,12,20.25449025941885,44.35175781738744,0,F
3,0,20,13,17,59.92469993525118,12,20.490587491906396,79.31266991685655,1,B
4,0,14,10,6,77.68342570405632,16,26.71042821300704,55.52215306886503,0,C
4,0,17,12,17,64.01501806502301,12,22.001877258127877,72.89698598850737,1,B
1,2,6,12,14,86.93341082642355,4,18.866676353302942,70.79369371666263,1,B
1,2,25,13,19,50.0,2,12.25,54.76902581115331,0,C
4,3,10,11,8,76.9866368477342,8,26.623329605966774,61.884587418785856,1,C
3,0,7,13,12,84.3795052919565,15,27.54743816149456,85.62235629531301,1,A
2,2,5,19,11,90.33683775400566,6,25.29210471925071,70.80646664114234,1,B
4,2,7,13,13,83.7662744118133,20,29.470784301476662,70.74558591316631,1,B
1,3,1,16,12,97.8082134578573,5,24.226026682232163,74.02743883200748,1,B
3,1,18,15,5,70.8333987067298,12,21.854174838341223,59.184335806513104,0,C
4,0,15,5,16,69.4019062682527,8,29.675238283531588,64.68991386374601,1,C
4,2,6,10,6,86.62866516262036,8,26.828583145327546,67.5677884442353,1,B
3,3,9,16,16,81.52040618453547,12,26.190050773066936,74.41522703868368,1,B
4,3,11,12,6,73.06068483953243,16,23.132585604941553,60.4635625117602,0,C
3,3,16,14,16,74.37613970865968,9,24.29701746358246,61.8898197271168,1,C
2,2,6,13,12,86.66606984272704,4,20.83325873034088,66.19500320908156,1,B
3,0,21,19,16,51.18653295998049,15,19.398316619997562,74.56650587179159,1,B
3,1,7,8,8,84.5814276356638,15,28.572678454457975,67.4918502239476,1,B
3,0,6,17,13,88.68648996961356,9,26.085811246201693,83.05430727998052,1,A
4,3,3,6,6,94.34355906039002,8,28.792944882548753,47.394186196452054,0,F
4,3,2,15,18,95.82686498984998,16,27.978358123731248,75.0610684044274,1,B
3,1,18,13,8,65.85223534561851,15,19.231529418202314,58.4604860349689,0,C
4,0,14,13,17,66.63543803687837,8,29.329429754609798,65.88190102947075,1,B
1,3,3,16,17,95.17020814511665,2,22.89627601813958,75.2777423006436,1,B
1,3,24,12,19,50.0,2,14.25,36.29087726022226,0,F
4,0,8,7,19,86.9270803138109,16,27.865885039226363,74.00046469580342,1,B
4,3,12,9,5,75.5180823700115,20,25.439760296251436,54.50005058879239,0,C
3,0,17,6,7,62.33511955901818,12,21.791889944877273,53.07060464660931,0,C
2,3,20,18,10,66.68978166879502,4,19.33622270859938,55.994779111562096,0,C
4,0,15,7,13,66.9395016776552,8,22.3674377097069,63.28133033353086,1,C
1,1,0,5,15,100.0,5,20.5,81.22848099216043,1,A
